(0, 37)
(1, 56)
(2, 78)
(3, 55)
(4, 16)
(6, 37)
(7, 93)
(8, 53)
(9, 45)
(9, 89)
(10, 45)
(11, 37)
(12, 56)
(13, 45)
(13, 56)
(14, 42)
(14, 48)
(15, 72)
(16, 21)
(16, 45)
(16, 57)
(16, 98)
(17, 49)
(17, 76)
(18, 93)
(19, 89)
(20, 45)
(20, 83)
(20, 93)
(22, 37)
(23, 43)
(24, 45)
(26, 45)
(27, 45)
(27, 51)
(28, 37)
(29, 92)
(30, 93)
(31, 45)
(33, 45)
(33, 56)
(34, 73)
(35, 45)
(35, 93)
(36, 45)
(37, 42)
(37, 45)
(37, 46)
(37, 48)
(37, 50)
(37, 51)
(37, 56)
(37, 59)
(37, 67)
(37, 77)
(37, 80)
(37, 83)
(37, 85)
(37, 86)
(37, 92)
(37, 93)
(38, 45)
(40, 45)
(41, 93)
(42, 45)
(42, 56)
(43, 45)
(44, 93)
(45, 48)
(45, 52)
(45, 53)
(45, 54)
(45, 55)
(45, 56)
(45, 58)
(45, 59)
(45, 61)
(45, 67)
(45, 70)
(45, 72)
(45, 73)
(45, 76)
(45, 77)
(45, 78)
(45, 82)
(45, 87)
(45, 88)
(45, 90)
(45, 92)
(45, 93)
(45, 96)
(48, 56)
(48, 63)
(48, 93)
(52, 93)
(55, 61)
(56, 74)
(56, 75)
(56, 76)
(56, 85)
(58, 80)
(60, 91)
(61, 64)
(65, 95)
(67, 99)
(68, 73)
(75, 93)
(76, 85)
(76, 93)
(80, 93)
(81, 96)
(83, 92)
(87, 94)
(89, 93)
(93, 97)
